,type_of_company,company_name,company_url
189,Banks companies,Suryoday Small,https://www.screener.in/company/SURYODAY
190,Banks companies,Dhanlaxmi Bank,https://www.screener.in/company/DHANBANK
191,Bearings companies,Schaeffler India,https://www.screener.in/company/SCHAEFFLER
192,Bearings companies,Timken India,https://www.screener.in/company/TIMKEN
193,Bearings companies,SKF India,https://www.screener.in/company/SKFINDIA
194,Bearings companies,NRB Bearings,https://www.screener.in/company/NRBBEARING
195,Bearings companies,Menon Bearings,https://www.screener.in/company/MENONBE
196,Bearings companies,Galaxy Bearings,https://www.screener.in/company/526073
197,Bearings companies,SKP Bearing,https://www.screener.in/company/SKP
198,Bearings companies,Bimetal Bearings,https://www.screener.in/company/505681
199,Bearings companies,Vishal Bearings,https://www.screener.in/company/539398
200,Bearings companies,SNL Bearings,https://www.screener.in/company/505827
201,Bearings companies,NRB Indl Bearing,https://www.screener.in/company/NIBL
202,Bearings companies,Austin Engg Co,https://www.screener.in/company/522005
203,Bearings companies,Benara Bearings,https://www.screener.in/company/541178
204,Cables companies,Polycab India,https://www.screener.in/company/POLYCAB
205,Cables companies,KEI Industries,https://www.screener.in/company/KEI
206,Cables companies,R R Kabel,https://www.screener.in/company/RRKABEL
207,Cables companies,Finolex Cables,https://www.screener.in/company/FINCABLES
208,Cables companies,Sterlite Tech.,https://www.screener.in/company/STLTECH
209,Cables companies,Paramount Comm.,https://www.screener.in/company/PARACABLES
210,Cables companies,Universal Cables,https://www.screener.in/company/UNIVCABLES
211,Cables companies,Dynamic Cables,https://www.screener.in/company/DYCL
212,Cables companies,Birla Cable,https://www.screener.in/company/BIRLACABLE
213,Cables companies,Diamond Power,https://www.screener.in/company/DIACABS
214,Cables companies,Plaza Wires,https://www.screener.in/company/PLAZACABLE
215,Cables companies,V-Marc India,https://www.screener.in/company/VMARCIND
216,Cables companies,Ultracab India,https://www.screener.in/company/538706
217,Cables companies,Delton Cables,https://www.screener.in/company/504240
218,Cables companies,Aksh Optifibre,https://www.screener.in/company/AKSHOPTFBR
219,Cables companies,Cords Cable,https://www.screener.in/company/CORDSCABLE
220,Cables companies,Relicab Cable,https://www.screener.in/company/539760
221,Cables companies,Marco Cables,https://www.screener.in/company/MARCO
222,Cables companies,Cybele Industrie,https://www.screener.in/company/531472
223,Cables companies,Godha Cabcon,https://www.screener.in/company/GODHA
224,Cables companies,T N Telecom.,https://www.screener.in/company/TNTELE
225,Cables companies,Jigar Cables,https://www.screener.in/company/540651
226,Cables companies,CMI,https://www.screener.in/company/CMICABLES
227,Cables companies,SGN Telecoms,https://www.screener.in/company/531812
228,Capital Goods - Electrical Equipment companies,Siemens,https://www.screener.in/company/SIEMENS
229,Capital Goods - Electrical Equipment companies,A B B,https://www.screener.in/company/ABB
230,Capital Goods - Electrical Equipment companies,CG Power & Indu.,https://www.screener.in/company/CGPOWER
231,Capital Goods - Electrical Equipment companies,B H E L,https://www.screener.in/company/BHEL
232,Capital Goods - Electrical Equipment companies,Suzlon Energy,https://www.screener.in/company/SUZLON
233,Capital Goods - Electrical Equipment companies,Apar Inds.,https://www.screener.in/company/APARINDS
234,Capital Goods - Electrical Equipment companies,Hitachi Energy,https://www.screener.in/company/POWERINDIA
235,Capital Goods - Electrical Equipment companies,Inox Wind,https://www.screener.in/company/INOXWIND
236,Capital Goods - Electrical Equipment companies,K E C Intl.,https://www.screener.in/company/KEC
237,Capital Goods - Electrical Equipment companies,Triveni Turbine,https://www.screener.in/company/TRITURBINE
238,Capital Goods - Electrical Equipment companies,GE T&D India,https://www.screener.in/company/GET&D
239,Capital Goods - Electrical Equipment companies,V-Guard Industri,https://www.screener.in/company/VGUARD
240,Capital Goods - Electrical Equipment companies,Kalpataru Proj.,https://www.screener.in/company/KPIL
241,Capital Goods - Electrical Equipment companies,Schneider Elect.,https://www.screener.in/company/SCHNEIDER
242,Capital Goods - Electrical Equipment companies,Volt.Transform.,https://www.screener.in/company/VOLTAMP
243,Capital Goods - Electrical Equipment companies,TD Power Systems,https://www.screener.in/company/TDPOWERSYS
244,Capital Goods - Electrical Equipment companies,T R I L,https://www.screener.in/company/TRIL
